op_id,operation_summary,cpu_joules,dram_joules,nvme_joules,total_joules,source,notes
35,Multi-polygon territory analysis,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (bbox check), est 1ms"
36,Columnstore index for analytical workloads,0.010,0.0,0.0,0.010,ESTIMATED,"DuckDB native columnar, est 2ms"
37,Natively compiled stored procedure,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (view scan), est 1ms"
38,Memory-optimized table with hash index,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (table scan), est 1ms"
39,Real-time operational analytics with columnstore,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB native columnar, est 1ms"
40,Batch mode on rowstore,0.020,0.0,0.0,0.020,ESTIMATED,"DuckDB variant A (remove hint), est 4ms"
41,Always Encrypted with secure enclaves pattern,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (NULL return), est 1ms"
42,Row-Level Security (RLS) with predicate functions,0.010,0.0,0.0,0.010,ESTIMATED,"DuckDB variant A (WHERE filter), est 2ms"
43,Dynamic Data Masking,0.010,0.0,0.0,0.010,ESTIMATED,"DuckDB variant A (CASE WHEN mask), est 2ms"
44,Audit specification for compliance,0.0,0.0,0.0,0.0,ESTIMATED,"DuckDB variant A (empty result), est 0ms"
45,Certificate-based signing for stored procedures,0.020,0.0,0.0,0.020,ESTIMATED,"DuckDB variant A (view scan), est 4ms"
46,Table-valued parameters for bulk operations,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (unnest array), est 1ms"
47,MERGE statement with OUTPUT clause and $action,0.010,0.0,0.0,0.010,ESTIMATED,"DuckDB variant A (ON CONFLICT), est 2ms"
48,TRY_CONVERT with error handling for data type conversion,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (TRY_CAST), est 1ms"
49,SESSION_CONTEXT for cross-request state,0.0,0.0,0.0,0.0,ESTIMATED,"DuckDB variant A (constants), est 0ms"
50,System-versioned temporal with CHANGETABLE,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (empty/audit), est 1ms"
